# Edit at your own risk. Consists of Location Data for GTASA Admin Console
# This file gets regenerated when you click on Save Changes to Config File button.
# If you delete this file, it will be regenerated by the next time you run GTASA_Console
GTASAWarpLocations
#GTA San Andreas Warp Locations:
#UID | Folder | Description | LocationData(X;Y;Z;Angle)
B727780C-F192-6148-85FF-1847DA748C75|GTA SA Locations\Girlfriends|GF Barbara|-1404.344;2640.061;55.887;90
88AC0067-CDD8-394A-95CC-91FBF7EC73CB|GTA SA Locations\Girlfriends|GF Denise|2402.54;-1727.254;12.874;90
AEF92A40-842F-E847-BFE4-17FD8DA745FB|GTA SA Locations\Girlfriends|GF Helena|-373.616;-1441.395;25.927;90
61AAC54B-506E-0649-A384-F5DB42E8E132|GTA SA Locations\Girlfriends|GF Katie|-2575.641;1142.277;55.382;90
0A514402-CA3E-004F-8C53-FFE6A7E60147|GTA SA Locations\Girlfriends|GF Michelle|-1791.83;1193.698;24.561;90
2BAD407A-C602-7C4C-948B-6ECCB9F20531|GTA SA Locations\Girlfriends|GF Millie|2037.287;2734.815;10.415;90
337CA947-9F54-884C-8A08-3307EE167C51|GTA SA Locations\Horseshoes|Horseshoe 01|1224;2617;11;90
49B1FFB2-01CC-9642-B8FE-AA7EB550A640|GTA SA Locations\Horseshoes|Horseshoe 02|2323;1284;97;90
4C00AD9D-6233-FF47-99F1-4395C0590C2B|GTA SA Locations\Horseshoes|Horseshoe 03|2035;2305;18;90
A7F278A1-E277-B849-8050-250066801254|GTA SA Locations\Horseshoes|Horseshoe 04|2491;2263;15;90
60C40E91-9D22-7641-84AB-CD7FAE65AF75|GTA SA Locations\Horseshoes|Horseshoe 05|1433;2796;20;90
6A3F596C-E120-CE40-8180-DA7355F44625|GTA SA Locations\Horseshoes|Horseshoe 06|2071;712;11;90
09B9589E-E094-B949-A548-32270597E321|GTA SA Locations\Horseshoes|Horseshoe 07|2239;1839;18;90
A580BC98-857A-434A-9672-69A96C0124FE|GTA SA Locations\Horseshoes|Horseshoe 08|2583;2387;16;90
C73819EF-0D91-B543-BF23-1AB000EBF268|GTA SA Locations\Horseshoes|Horseshoe 09|2864;857;13;90
